so_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
137,,22,11,073,85,800,39.85,NULL,NULL,NULL,NULL,NULL
138,,22,11,074,91,1000,NULL,NULL,NULL,NULL,NULL,NULL
139,,22,11,075,30,14211,NULL,NULL,NULL,NULL,NULL,NULL
140,,22,11,075,28,3000,NULL,NULL,NULL,NULL,NULL,NULL
141,,22,11,076,88,2000,165.84,NULL,NULL,NULL,NULL,NULL
142,,22,11,076,99,500,22.15,NULL,NULL,NULL,NULL,NULL
143,,22,11,077,108,3000,NULL,NULL,NULL,NULL,NULL,NULL
144,,22,11,078,104,150,NULL,NULL,NULL,NULL,NULL,NULL
145,,22,11,079,33,1000,NULL,NULL,NULL,NULL,NULL,NULL
146,,22,12,080,96,363,NULL,NULL,NULL,NULL,NULL,NULL
147,,22,12,081,80,2000,NULL,NULL,NULL,NULL,NULL,NULL
148,,22,12,081,75,1500,NULL,NULL,NULL,NULL,NULL,NULL
149,,22,12,081,82,1500,NULL,NULL,NULL,NULL,NULL,NULL
150,,22,12,082,98,125,7.3,NULL,NULL,NULL,NULL,NULL
151,,22,12,083,105,267,NULL,NULL,NULL,NULL,NULL,NULL
152,,22,12,084,29,275,NULL,NULL,NULL,NULL,NULL,NULL
153,,22,12,084,31,1100,NULL,NULL,NULL,NULL,NULL,NULL
154,,22,12,085,9,2000,NULL,NULL,NULL,NULL,NULL,NULL
155,,22,12,085,35,1000,NULL,NULL,NULL,NULL,NULL,NULL
156,,23,01,001,19,2100,NULL,NULL,NULL,NULL,NULL,NULL
157,,23,01,002,33,5000,NULL,NULL,NULL,NULL,NULL,NULL
158,,23,01,003,28,1090,NULL,NULL,NULL,NULL,NULL,NULL
159,,23,01,003,30,17500,NULL,NULL,NULL,NULL,NULL,NULL
160,,23,01,004,26,1000,NULL,NULL,NULL,NULL,NULL,NULL
161,,23,01,005,11,1000,NULL,NULL,NULL,NULL,NULL,NULL
162,,23,02,006,38,1333,NULL,NULL,2023-02-09,3.5,NULL,NULL
163,,23,02,007,31,1370,NULL,NULL,2023-02-09,2.1,NULL,NULL
164,,23,02,007,29,430,NULL,NULL,2023-02-09,3.59,NULL,NULL
