prefix,year,month,sec_number,suffix,product_id,po_detail_id,target_unit_yield,actual_unit_yield,batch_printed,bpr_printed,exp_date,exp_type
,22,09,135,,92,122,1000,NULL,1,1,NULL,NULL
,22,09,136,,14,123,1000,NULL,1,1,NULL,NULL
,22,09,137,,15,124,1000,NULL,1,1,NULL,NULL
,22,10,138,,70,119,NULL,NULL,1,1,NULL,NULL
,22,10,139,,73,125,1000,NULL,1,1,NULL,NULL
,22,10,140,,44,126,NULL,NULL,1,1,NULL,NULL
,22,10,141,,50,127,1000,NULL,1,1,NULL,NULL
,22,10,142,,51,128,1000,NULL,1,1,NULL,NULL
,22,10,143,,56,129,631,NULL,1,1,NULL,NULL
,22,10,144,,56,129,631,NULL,1,1,NULL,NULL
,22,10,145,,56,129,631,NULL,1,1,NULL,NULL
,22,10,146,,56,129,631,NULL,1,1,NULL,NULL
,22,10,147,,56,129,631,NULL,1,1,NULL,NULL
,22,10,148,,56,129,631,NULL,1,1,NULL,NULL
,22,10,149,,56,129,631,NULL,1,1,NULL,NULL
,22,10,150,,56,129,500,NULL,1,1,NULL,NULL
,22,10,151,,72,130,750,NULL,1,1,NULL,NULL
,22,10,152,,83,131,835,NULL,1,1,NULL,NULL
,22,10,153,,83,131,835,NULL,1,1,NULL,NULL
,22,10,154,,83,131,835,NULL,1,1,NULL,NULL
,22,10,155,,83,131,835,NULL,1,1,NULL,NULL
,22,10,156,,83,131,835,NULL,1,1,NULL,NULL
,22,10,157,,83,131,775,NULL,1,1,NULL,NULL
,22,10,158,,68,132,1000,NULL,1,1,NULL,NULL
,22,10,159,,90,133,NULL,NULL,1,1,NULL,NULL
,22,10,160,,111,134,3000,NULL,1,1,NULL,NULL
,22,10,161,,107,135,2500,NULL,1,1,NULL,NULL
,22,10,162,,97,136,NULL,NULL,1,1,NULL,NULL
,22,10,163,,30,139,17310,NULL,1,1,NULL,NULL
,22,10,164,,28,140,NULL,NULL,1,1,NULL,NULL
,22,11,165,,85,137,800,NULL,1,1,NULL,NULL
,22,11,166,,91,138,1000,NULL,1,1,NULL,NULL
,22,11,167,,88,141,2000,NULL,1,1,NULL,NULL
,22,11,168,,99,142,500,NULL,1,1,NULL,NULL
,22,11,169,,108,143,3000,NULL,1,1,NULL,NULL
,22,11,170,,104,144,150,NULL,1,1,NULL,NULL
,22,12,171,,96,146,363,NULL,1,1,NULL,NULL
,22,12,172,,80,147,670,NULL,0,0,NULL,NULL
,22,12,173,,80,147,670,NULL,0,0,NULL,NULL
,22,12,174,,80,147,670,NULL,0,0,NULL,NULL
,22,12,175,,75,148,302,NULL,0,0,NULL,NULL
,22,12,176,,75,148,302,NULL,0,0,NULL,NULL
,22,12,177,,75,148,302,NULL,0,0,NULL,NULL
,22,12,178,,75,148,302,NULL,0,0,NULL,NULL
,22,12,179,,75,148,302,NULL,0,0,NULL,NULL
,22,12,180,,82,149,302,NULL,0,0,NULL,NULL
,22,12,181,,82,149,302,NULL,0,0,NULL,NULL
,22,12,182,,82,149,302,NULL,0,0,NULL,NULL
,22,12,183,,82,149,302,NULL,0,0,NULL,NULL
,22,12,184,,82,149,302,NULL,0,0,NULL,NULL
,22,12,185,,107,32,2500,NULL,1,1,NULL,NULL
,22,12,186,,98,150,125,NULL,1,1,NULL,NULL
,22,12,187,,105,151,267,NULL,1,1,NULL,NULL
,22,12,188,,29,152,275,NULL,1,1,NULL,NULL
,22,12,189,,31,153,1100,NULL,1,1,NULL,NULL
,22,12,190,,9,154,1000,NULL,0,0,NULL,NULL
,22,12,191,,9,154,1000,NULL,0,0,NULL,NULL
,23,01,001,,19,156,564,NULL,1,1,NULL,NULL
,23,01,002,,19,156,693,NULL,1,1,NULL,NULL
,23,01,003,,19,156,851,NULL,1,1,NULL,NULL
,23,01,004,,33,157,NULL,NULL,1,1,NULL,NULL
,23,01,005,,28,158,NULL,NULL,1,1,NULL,NULL
,23,01,006,,30,159,NULL,NULL,1,1,NULL,NULL
,23,01,007,,26,160,1000,NULL,0,0,NULL,NULL
,23,01,008,,11,161,1000,NULL,0,0,NULL,NULL
